PUBCHEM_CID	DISTINCT_EXP_COUNT	EIDS
119	1	2098
298	1	7743
299	1	7685
338	1	2098
471	1	2467
661	1	2467
681	1	2467,2467
803	1	3393
853	1	3408
1072	1	3397
1148	1	3408
1150	1	854
1214	1	3408
1236	1	3734
1464	1	3731
1539	1	3897
1598	1	3408
1649	1	3408
1674	1	3731
1730	1	3408
1797	1	3734
1845	1	4310
1880	1	3408
1893	1	2473
1935	1	3408
2019	1	2467
2046	1	3731,3731,3731
2063	1	3731
2123	1	2098
2148	1	3731
2161	1	7741
2197	1	3897
2236	1	3731,3731,3731
2256	1	7744
2286	1	3731
2343	1	2473
2563	1	3731
2603	1	3731
2609	1	3731
2610	1	3731
2618	1	7743
2700	1	3408
2719	1	7799
2727	1	2473
2758	1	7743
2856	1	5625
2935	1	2467
2948	1	3731,3731
2998	1	3408
3059	1	2098
3071	1	3734,3734
3120	1	2617
3136	1	3731
3277	1	3428
3278	1	3897
3293	1	3408
3295	1	3897
3330	1	3731,3731
3333	1	3734
3334	1	3452
3339	1	967
3383	1	2467
3396	1	7685
3442	1	7634
3445	1	2467
3456	1	3408
3547	1	1586,1586
3608	1	3897
3639	1	7672
3718	1	3452
3727	1	3408
3728	1	7743
3747	1	3452
3884	1	3731
3885	1	3731,3731,3731
3894	1	3731
3951	1	7743
3976	1	3731
4053	1	3731
4075	1	2467,2467
4106	1	4310
4189	1	4166
4197	1	7749
4212	1	2467
4235	1	2098
4375	1	3897
4407	1	3408
4449	1	854
4466	1	2467
4468	1	2467
4469	1	2467
4472	1	2098
4488	1	2098
4499	1	3896
4549	1	3731,3731,3731,3731
4552	1	7634
4594	1	3731,3731
4622	1	3896
4679	1	3731
4680	1	3428,3428
4713	1	3731
4731	1	7743
4740	1	2098
4748	1	2098
4788	1	4310
4909	1	2098
4915	1	3408
4937	1	2467
5022	1	7749
5029	1	3897
5038	1	3408
5070	1	3897
5083	1	3731
5147	1	2098
5190	1	3739,3739
5334	1	4310
5361	1	2467
5522	1	3428
5578	1	7743
5583	1	3731
5662	1	2098
5668	1	3731
5722	1	3408
5723	1	3896
5746	1	7672
5757	1	2098
5770	1	3734
5804	1	7743
5813	1	2467
5839	1	3897
5941	1	3731,3731
6001	1	7690
6037	1	2467
6047	1	2467
6051	1	3452
6081	1	2098
6114	1	7672
6167	1	3896
6240	1	2098
6249	1	2467
6253	1	3896
6256	1	3896
6291	1	3897
6319	1	3408
6629	1	3408
6701	1	3731
6732	1	3445
6759	1	3397
6870	1	3731
6872	1	3897
7028	1	3408
7082	1	2490
7085	1	7634
7113	1	3897
7120	1	7725
7265	1	3408
7280	1	2467
7329	1	3408
7340	1	3897
7428	1	2467
7490	1	2467
7499	1	3408
7551	1	2467
7619	1	3408
7814	1	3731
8111	1	2467
8228	1	2467
8307	1	813
8321	1	3731
8323	1	854
8341	1	3897
8407	1	7722
8408	1	7634
8486	1	7722
8570	1	3897
8588	1	3216
8691	1	3731,3731
8722	1	3408
8842	1	3408
8980	1	2098
9017	1	3408
9064	1	2467,2467
9066	1	2098
9082	1	3731,3731,3731
9279	1	2467
9403	1	7743
9516	1	3897
9642	1	7672
10145	1	967
10206	1	3896
10208	1	2467
10226	1	2467
10453	1	3408
10621	1	854
10659	1	3408
10737	1	3897
10788	1	7719
10819	1	3408
10855	1	3731
10866	1	4310
11224	1	2098
11292	1	4310
11293	1	967
11373	1	3731
11852	1	7685
12492	1	2098
12855	1	3897
12901	1	3731
12914	1	3897
13698	1	3897
13918	1	3897
14868	1	3731
14878	1	3731
14987	1	7690
15432	1	2098
15729	1	7587
15910	1	3731
16043	1	3408
16088	1	705
16230	1	2467
16623	1	3452
16686	1	2467
16803	1	3216
16850	1	2467,2467
17113	1	3897
17201	1	3896
17471	1	3897
17893	1	3731
19405	1	3897
20415	1	3897
20926	1	3897
21951	1	3731
22456	1	2467
22574	1	2467
22584	1	2467
23418	1	7743
23540	1	3731
23565	1	2467
24260	1	3897
24502	1	2467
25096	1	3731,3731
26041	1	3408
26120	1	3393
27816	1	3452
28503	1	3408
28761	1	2824
28767	1	3897
28914	1	3897
29508	1	3897
30667	1	3897
30700	1	3897
30850	1	967
31092	1	3393
31153	1	7738
31840	1	7749
32030	1	3897
32251	1	4348
32798	1	2098
33255	1	7743
33334	1	3452
34209	1	3897
34359	1	3731,3731,3731
34592	1	2824
34757	1	3897
35370	1	7672
36755	1	3992
36851	1	3452
37560	1	7741
38045	1	705
40302	1	3897
40958	1	3731
42786	1	7749
42997	1	3897
43146	1	3897
44008	1	3408
47471	1	7685
52210	1	3731
53073	1	3734
53312	1	3897
53323	1	967
56251	1	705
60602	1	3734
60605	1	7743
60839	1	4310
60943	1	3408
61100	1	3897
61444	1	2467
62390	1	2467
62547	1	705
63002	1	3408
63708	1	3897
64764	1	3408
64984	1	3897
65047	1	7634
65057	1	7719
65126	1	3731
65188	1	3897
65303	1	967
65340	1	2467,2467,2467
65388	1	3731
65758	1	3897,3897
65768	1	3897
66061	1	7672
66062	1	3896
66146	1	4348
66414	1	3896
66419	1	2473
66440	1	2098
66532	1	3452
66671	1	2467
66714	1	967
66733	1	3731
67133	1	3896
67173	1	854
67476	1	3393
67485	1	3897
67869	1	3897
68094	1	2467
68249	1	3731
68261	1	3408
68281	1	3897
68296	1	3408
68369	1	3731
68539	1	2098
68589	1	7743
69298	1	3897
69439	1	2467
69448	1	3897
69845	1	3731
70385	1	3897
70398	1	3897
70840	1	3897
70849	1	3408
71034	1	3897
71398	1	3408
71545	1	3897
71651	1	2098
71777	1	3408
72279	1	3897
72307	1	3896
72313	1	3731
72986	1	7672
73249	1	3897
73453	1	7634
73549	1	7719
74079	1	4188
74566	1	3896
74812	1	3408
75505	1	3897
75599	1	3897
75870	1	3897
76313	1	3897
76443	1	705
76659	1	3896
76819	1	2490
76848	1	2467
76930	1	3897
76985	1	854
77215	1	3897
77309	1	3897
77792	1	3897
77793	1	3897
77901	1	3897
78442	1	3897
78443	1	3897
